time,CoHLA-0.1,CoHLA-1.0
3.1,17.988995,
4,,17.988995
6.1,17.977632,
7,,17.977632
9.1,17.966643,
10,,17.966643
12.1,17.955662,
13,,17.955662
15.1,17.944688,
16,,17.944688
18.1,17.933722,
19,,17.933722
21.1,17.923128,
22,,17.923128
24.1,17.912177,
25,,17.912177
27.1,17.901233,
28,,17.901233
30.1,17.890297,
31,,17.890297
33.1,17.879369,
34,,17.879369
36.1,17.868448,
37,,17.868448
39.1,17.857535,
40,,17.857535
42.1,17.846629,
43,,17.846629
45.1,17.835731,
46,,17.835731
48.1,17.82484,
49,,17.82484
51.1,17.813957,
52,,17.813957
54.1,17.803082,
55,,17.803082
57.1,17.792214,
58,,17.792214
60.1,17.781354,
61,,17.781354
