nodes,minSpeedUpAuto,maxSpeedUpAuto,avgSpeedUpAuto,minSpeedUpManual,maxSpeedUpManual,avgSpeedUpManual,minSpeedUpBad,maxSpeedUpBad,avgSpeedUpBad
1,1,1,1,1,1,1,1,1,1
2,1.87014252209995,1.90478080461844,1.88746166335919,2.17097740266812,2.2111876688517,2.19108253575991,nan,nan,nan
3,2.55210713070529,2.67002867836485,2.59546492976231,2.79695823567015,2.92619326656723,2.84447581504368,nan,nan,nan
4,3.26344197633382,3.37483318010617,3.30457605504315,3.50557502389296,3.62523096527557,3.54976107040459,nan,nan,nan
5,3.61912803722213,4.25224883680855,3.89511631914527,3.89455921077031,4.5758632199681,4.19155138523161,nan,nan,nan
6,3.98811249637576,4.59194694114236,4.22048057407944,4.66943902232029,5.37643214800985,4.94150471017568,nan,nan,nan
7,4.18132765892769,5.15776874263784,4.52964135078358,4.80733944954129,5.92996941896025,5.20780128565188,4.7146529562982,5.81563838903171,5.10739380585139
8,3.54401934768735,4.55936985657183,3.90566322931712,4.41183357725277,5.67581016098683,4.86203219736567,nan,nan,nan
9,4.72964841399467,5.83413564858592,5.15368635204447,5.70480584789258,7.03701591580694,6.21627179566938,nan,nan,nan
10,4.63542458525243,6.06971336582748,5.18967490944864,4.65039702121933,6.08931855905971,5.2064375757032,nan,nan,nan
11,4.38911000084681,5.74718435091879,4.9592183157684,5.1989568182958,6.80761322032198,5.87425739414304,nan,nan,nan
12,4.818574815228,6.30953377027844,5.33112923968453,5.4818614489688,7.17805393971444,6.06497003349198,nan,nan,nan
13,5.03531354738427,6.59333560013601,5.55783149186754,5.37498703722908,7.03811054651042,5.93275313300202,nan,nan,nan
14,4.71963212529594,6.17997632489528,5.23185342248354,5.27220018309429,6.90351947919845,5.8443916474127,5.47404551935365,7.16781961239901,6.0681432418772
