nodes,minSpeedUp,maxSpeedUp,avgSpeedUp
1,1,1,1
2,2.55332755510787,2.60825193063006,2.58078974286897
3,3.77988803140474,4.14987509479413,3.92449554653462
4,5.39944438932434,5.5119838986294,5.45111122135133
5,5.62180857330394,6.95859770772675,6.40736489556861
6,7.21996474802419,7.83615412315448,7.44416541894888
7,7.14208951449764,8.33553186109238,7.88526514786629
8,7.67185766993368,9.17967812761719,8.55884866112859
9,7.6214194149866,9.63661577904673,8.64223801939686
10,8.01384668169787,9.92135574943633,9.15002695814136
11,8.2781954887218,10.2668033720665,9.52594065512726
12,8.44386200485462,10.676522233125,9.58440926853621
13,8.76080375083724,11.0772672471534,10.0135421711577
14,8.86795574117264,11.2127515322449,10.1647773498942
15,8.75517416798308,11.0701491338456,10.0620436067008
16,8.90417710489053,11.2585502668555,10.2839049395491
